filter_threshold,width_confidence,depth_confidence,matched_points,left_keypoints,right_keypoints,match_time_ms
0.08,0.9,0.5,253,329,323,26.8
0.08,0.9,0.8,251,329,323,40.6
0.08,0.9,0.9,251,329,323,40.9
0.08,0.9,0.95,251,329,323,41.2
0.08,0.9,0.99,252,329,323,52.8
0.08,0.95,-1,243,329,323,115.9
0.08,0.95,0.5,253,329,323,26.7
0.08,0.95,0.8,252,329,323,41.7
0.08,0.95,0.9,252,329,323,41.1
0.08,0.95,0.95,252,329,323,40.9
0.08,0.95,0.99,252,329,323,56.6
0.08,0.99,-1,244,329,323,123.8
0.08,0.99,0.5,253,329,323,26.7
0.08,0.99,0.8,251,329,323,42.3
0.08,0.99,0.9,251,329,323,43.1
0.08,0.99,0.95,251,329,323,42.0
0.08,0.99,0.99,252,329,323,55.6
0.1,-1,-1,245,329,323,142.2
0.1,-1,0.5,251,329,323,25.5
0.1,-1,0.8,250,329,323,42.8
0.1,-1,0.9,250,329,323,43.7
0.1,-1,0.95,250,329,323,42.0
0.1,-1,0.99,251,329,323,57.7
0.1,0.5,-1,240,329,323,116.5
0.1,0.5,0.5,247,329,323,25.2
0.1,0.5,0.8,247,329,323,37.7
0.1,0.5,0.9,247,329,323,37.6
0.1,0.5,0.95,247,329,323,39.1
0.1,0.5,0.99,248,329,323,49.3
0.1,0.8,-1,243,329,323,114.1
0.1,0.8,0.5,251,329,323,26.5
0.1,0.8,0.8,251,329,323,47.8
0.1,0.8,0.9,251,329,323,46.2
0.1,0.8,0.95,251,329,323,45.0
0.1,0.8,0.99,251,329,323,58.4
0.1,0.9,-1,243,329,323,129.2
0.1,0.9,0.5,251,329,323,30.5
0.1,0.9,0.8,250,329,323,46.5
0.1,0.9,0.9,250,329,323,46.7
0.1,0.9,0.95,250,329,323,47.6
0.1,0.9,0.99,250,329,323,60.6
0.1,0.95,-1,243,329,323,130.6
0.1,0.95,0.5,251,329,323,31.0
0.1,0.95,0.8,251,329,323,48.1
0.1,0.95,0.9,251,329,323,48.0
0.1,0.95,0.95,251,329,323,46.3
0.1,0.95,0.99,251,329,323,60.8
0.1,0.99,-1,244,329,323,137.1
0.1,0.99,0.5,251,329,323,45.4
0.1,0.99,0.8,250,329,323,45.9
0.1,0.99,0.9,250,329,323,46.8
0.1,0.99,0.95,250,329,323,46.8
0.1,0.99,0.99,250,329,323,61.2
0.15,-1,-1,245,329,323,159.4
0.15,-1,0.5,249,329,323,31.3
0.15,-1,0.8,250,329,323,49.6
0.15,-1,0.9,250,329,323,50.9
0.15,-1,0.95,250,329,323,47.4
0.15,-1,0.99,249,329,323,64.2
0.15,0.5,-1,239,329,323,128.5
0.15,0.5,0.5,246,329,323,28.9
0.15,0.5,0.8,247,329,323,44.7
0.15,0.5,0.9,247,329,323,44.1
0.15,0.5,0.95,247,329,323,42.6
0.15,0.5,0.99,248,329,323,55.8
0.15,0.8,-1,242,329,323,130.8
0.15,0.8,0.5,249,329,323,30.3
0.15,0.8,0.8,251,329,323,45.5
0.15,0.8,0.9,251,329,323,45.0
0.15,0.8,0.95,251,329,323,44.4
0.15,0.8,0.99,250,329,323,61.2
0.15,0.9,-1,242,329,323,133.7
0.15,0.9,0.5,249,329,323,31.8
0.15,0.9,0.8,250,329,323,47.5
0.15,0.9,0.9,250,329,323,45.9
0.15,0.9,0.95,250,329,323,45.9
0.15,0.9,0.99,249,329,323,61.1
0.15,0.95,-1,242,329,323,133.1
0.15,0.95,0.5,249,329,323,31.5
0.15,0.95,0.8,251,329,323,46.4
0.15,0.95,0.9,251,329,323,46.7
0.15,0.95,0.95,251,329,323,46.5
0.15,0.95,0.99,249,329,323,64.3
0.15,0.99,-1,242,329,323,136.2
0.15,0.99,0.5,249,329,323,31.5
0.15,0.99,0.8,250,329,323,47.6
0.15,0.99,0.9,250,329,323,45.1
0.15,0.99,0.95,250,329,323,47.2
0.15,0.99,0.99,250,329,323,60.4
0.2,-1,-1,245,329,323,167.3
0.2,-1,0.5,249,329,323,33.6
0.2,-1,0.8,250,329,323,49.6
0.2,-1,0.9,250,329,323,47.7
0.2,-1,0.95,250,329,323,48.4
0.2,-1,0.99,249,329,323,63.9
0.2,0.5,-1,238,329,323,130.1
0.2,0.5,0.5,246,329,323,28.4
0.2,0.5,0.8,247,329,323,42.1
0.2,0.5,0.9,247,329,323,42.3
0.2,0.5,0.95,247,329,323,43.2
0.2,0.5,0.99,248,329,323,56.4
0.2,0.8,-1,242,329,323,127.6
0.2,0.8,0.5,249,329,323,29.4
0.2,0.8,0.8,251,329,323,42.7
0.2,0.8,0.9,251,329,323,43.8
0.2,0.8,0.95,251,329,323,44.7
0.2,0.8,0.99,250,329,323,57.4
0.2,0.9,-1,241,329,323,131.1
0.2,0.9,0.5,249,329,323,31.5
0.2,0.9,0.8,249,329,323,45.9
0.2,0.9,0.9,249,329,323,46.1
0.2,0.9,0.95,249,329,323,45.3
0.2,0.9,0.99,249,329,323,65.7
0.2,0.95,-1,241,329,323,135.0
0.2,0.95,0.5,249,329,323,31.2
0.2,0.95,0.8,250,329,323,48.8
0.2,0.95,0.9,250,329,323,47.2
0.2,0.95,0.95,250,329,323,44.7
0.2,0.95,0.99,249,329,323,61.2
0.2,0.99,-1,241,329,323,128.1
0.2,0.99,0.5,249,329,323,29.5
0.2,0.99,0.8,249,329,323,47.1
0.2,0.99,0.9,249,329,323,47.1
0.2,0.99,0.95,249,329,323,45.8
0.2,0.99,0.99,249,329,323,59.7
0.3,-1,-1,245,329,323,169.1
0.3,-1,0.5,247,329,323,29.1
0.3,-1,0.8,249,329,323,48.4
0.3,-1,0.9,249,329,323,47.1
0.3,-1,0.95,249,329,323,46.5
0.3,-1,0.99,249,329,323,63.0
