filter_threshold,width_confidence,depth_confidence,matched_points,possible_pairs,left_keypoints,right_keypoints,match_ratio_pct,match_time_ms
0.05,0.8,0.99,834,1320,1320,1351,63.18,553.9
0.05,0.9,-1,835,1320,1320,1351,63.26,813.3
0.05,0.9,0.5,895,1320,1320,1351,67.8,191.6
0.05,0.9,0.8,874,1320,1320,1351,66.21,392.7
0.05,0.9,0.9,863,1320,1320,1351,65.38,501.0
0.05,0.9,0.95,863,1320,1320,1351,65.38,494.3
0.05,0.9,0.99,859,1320,1320,1351,65.08,593.2
0.05,0.95,-1,841,1320,1320,1351,63.71,887.2
0.05,0.95,0.5,895,1320,1320,1351,67.8,182.6
0.05,0.95,0.8,874,1320,1320,1351,66.21,468.7
0.05,0.95,0.9,865,1320,1320,1351,65.53,531.2
0.05,0.95,0.95,865,1320,1320,1351,65.53,523.2
0.05,0.95,0.99,861,1320,1320,1351,65.23,630.8
0.05,0.99,-1,849,1320,1320,1351,64.32,1008.5
0.05,0.99,0.5,895,1320,1320,1351,67.8,200.3
0.05,0.99,0.8,876,1320,1320,1351,66.36,442.2
0.05,0.99,0.9,870,1320,1320,1351,65.91,593.7
0.05,0.99,0.95,870,1320,1320,1351,65.91,585.8
0.05,0.99,0.99,863,1320,1320,1351,65.38,710.3
0.08,-1,-1,865,1320,1320,1351,65.53,1353.0
0.08,-1,0.5,872,1320,1320,1351,66.06,196.7
0.08,-1,0.8,858,1320,1320,1351,65.0,445.9
0.08,-1,0.9,854,1320,1320,1351,64.7,639.7
0.08,-1,0.95,854,1320,1320,1351,64.7,640.7
0.08,-1,0.99,860,1320,1320,1351,65.15,826.3
0.08,0.5,-1,722,1320,1320,1351,54.7,565.4
0.08,0.5,0.5,834,1320,1320,1351,63.18,158.3
0.08,0.5,0.8,810,1320,1320,1351,61.36,299.0
0.08,0.5,0.9,810,1320,1320,1351,61.36,289.6
0.08,0.5,0.95,796,1320,1320,1351,60.3,373.1
0.08,0.5,0.99,796,1320,1320,1351,60.3,375.3
0.08,0.8,-1,799,1320,1320,1351,60.53,772.4
0.08,0.8,0.5,874,1320,1320,1351,66.21,202.2
0.08,0.8,0.8,849,1320,1320,1351,64.32,370.0
0.08,0.8,0.9,840,1320,1320,1351,63.64,472.8
0.08,0.8,0.95,840,1320,1320,1351,63.64,458.0
0.08,0.8,0.99,833,1320,1320,1351,63.11,544.9
0.08,0.9,-1,819,1320,1320,1351,62.05,804.4
0.08,0.9,0.5,872,1320,1320,1351,66.06,191.1
0.08,0.9,0.8,858,1320,1320,1351,65.0,385.8
0.08,0.9,0.9,850,1320,1320,1351,64.39,500.4
0.08,0.9,0.95,850,1320,1320,1351,64.39,495.2
0.08,0.9,0.99,850,1320,1320,1351,64.39,609.7
0.08,0.95,-1,825,1320,1320,1351,62.5,868.7
0.08,0.95,0.5,872,1320,1320,1351,66.06,214.2
0.08,0.95,0.8,857,1320,1320,1351,64.92,462.0
0.08,0.95,0.9,853,1320,1320,1351,64.62,551.3
0.08,0.95,0.95,853,1320,1320,1351,64.62,532.7
0.08,0.95,0.99,856,1320,1320,1351,64.85,650.1
0.08,0.99,-1,832,1320,1320,1351,63.03,1026.8
0.08,0.99,0.5,872,1320,1320,1351,66.06,203.3
0.08,0.99,0.8,858,1320,1320,1351,65.0,453.1
0.08,0.99,0.9,853,1320,1320,1351,64.62,605.4
0.08,0.99,0.95,853,1320,1320,1351,64.62,596.9
0.08,0.99,0.99,860,1320,1320,1351,65.15,712.7
0.1,-1,-1,861,1320,1320,1351,65.23,1351.3
0.1,-1,0.5,866,1320,1320,1351,65.61,203.9
0.1,-1,0.8,853,1320,1320,1351,64.62,453.5
0.1,-1,0.9,848,1320,1320,1351,64.24,675.1
0.1,-1,0.95,848,1320,1320,1351,64.24,654.0
0.1,-1,0.99,857,1320,1320,1351,64.92,849.6
0.1,0.5,-1,717,1320,1320,1351,54.32,563.2
0.1,0.5,0.5,832,1320,1320,1351,63.03,161.7
0.1,0.5,0.8,806,1320,1320,1351,61.06,296.8
0.1,0.5,0.9,806,1320,1320,1351,61.06,295.4
0.1,0.5,0.95,793,1320,1320,1351,60.08,373.2
0.1,0.5,0.99,793,1320,1320,1351,60.08,379.3
0.1,0.8,-1,786,1320,1320,1351,59.55,732.0
0.1,0.8,0.5,865,1320,1320,1351,65.53,199.0
0.1,0.8,0.8,841,1320,1320,1351,63.71,374.3
0.1,0.8,0.9,829,1320,1320,1351,62.8,477.5
0.1,0.8,0.95,829,1320,1320,1351,62.8,487.0
0.1,0.8,0.99,829,1320,1320,1351,62.8,539.0
0.1,0.9,-1,807,1320,1320,1351,61.14,809.8
0.1,0.9,0.5,866,1320,1320,1351,65.61,198.2
0.1,0.9,0.8,850,1320,1320,1351,64.39,393.3
0.1,0.9,0.9,842,1320,1320,1351,63.79,511.2
0.1,0.9,0.95,842,1320,1320,1351,63.79,494.7
0.1,0.9,0.99,850,1320,1320,1351,64.39,620.0
0.1,0.95,-1,820,1320,1320,1351,62.12,1259.6
0.1,0.95,0.5,866,1320,1320,1351,65.61,315.1
0.1,0.95,0.8,849,1320,1320,1351,64.32,431.5
0.1,0.95,0.9,843,1320,1320,1351,63.86,533.3
0.1,0.95,0.95,843,1320,1320,1351,63.86,538.5
0.1,0.95,0.99,852,1320,1320,1351,64.55,646.1
0.1,0.99,-1,829,1320,1320,1351,62.8,1007.9
0.1,0.99,0.5,866,1320,1320,1351,65.61,202.4
0.1,0.99,0.8,854,1320,1320,1351,64.7,451.8
0.1,0.99,0.9,845,1320,1320,1351,64.02,597.5
0.1,0.99,0.95,845,1320,1320,1351,64.02,600.6
0.1,0.99,0.99,856,1320,1320,1351,64.85,726.9
0.15,-1,-1,860,1320,1320,1351,65.15,1350.8
0.15,-1,0.5,846,1320,1320,1351,64.09,199.2
0.15,-1,0.8,840,1320,1320,1351,63.64,454.2
0.15,-1,0.9,832,1320,1320,1351,63.03,648.3
0.15,-1,0.95,832,1320,1320,1351,63.03,735.0
0.15,-1,0.99,845,1320,1320,1351,64.02,1010.2
0.15,0.5,-1,700,1320,1320,1351,53.03,698.2
0.15,0.5,0.5,820,1320,1320,1351,62.12,211.2
0.15,0.5,0.8,799,1320,1320,1351,60.53,363.5
0.15,0.5,0.9,799,1320,1320,1351,60.53,361.5
0.15,0.5,0.95,785,1320,1320,1351,59.47,435.1
0.15,0.5,0.99,785,1320,1320,1351,59.47,443.7
0.15,0.8,-1,751,1320,1320,1351,56.89,860.7
0.15,0.8,0.5,846,1320,1320,1351,64.09,259.7
