binding_file,header,bound_symbols,gui_status,isis9_status,isis10_status,comparison,replacement_hint,isis9_paths,isis10_paths
src/base/bind_base_image_polygon.cpp,IException.h,ImagePolygon,non_gui,present,present,changed_review_required,,IException.h,IException.h
src/base/bind_base_image_polygon.cpp,ImagePolygon.h,ImagePolygon,non_gui,present,present,identical_text,,ImagePolygon.h,ImagePolygon.h
src/base/bind_base_math.cpp,Affine.h,Affine;Basis1VariableFunction;BasisFunction;Calculator;CubeCalculator;CubeInfixToPostfix;FourierTransform;InfixToPostfix;InlineInfixToPostfix;LeastSquares;Matrix;MaximumLikelihoodWFunctions;NthOrderPolynomial;NumericalApproximation;PolynomialBivariate;PolynomialUnivariate;PrincipalComponentAnalysis;SparseBlockMatrix;SurfaceModel,non_gui,present,present,identical_text,,Affine.h,Affine.h
src/base/bind_base_math.cpp,Basis1VariableFunction.h,Affine;Basis1VariableFunction;BasisFunction;Calculator;CubeCalculator;CubeInfixToPostfix;FourierTransform;InfixToPostfix;InlineInfixToPostfix;LeastSquares;Matrix;MaximumLikelihoodWFunctions;NthOrderPolynomial;NumericalApproximation;PolynomialBivariate;PolynomialUnivariate;PrincipalComponentAnalysis;SparseBlockMatrix;SurfaceModel,non_gui,present,present,identical_text,,Basis1VariableFunction.h,Basis1VariableFunction.h
src/base/bind_base_math.cpp,BasisFunction.h,Affine;Basis1VariableFunction;BasisFunction;Calculator;CubeCalculator;CubeInfixToPostfix;FourierTransform;InfixToPostfix;InlineInfixToPostfix;LeastSquares;Matrix;MaximumLikelihoodWFunctions;NthOrderPolynomial;NumericalApproximation;PolynomialBivariate;PolynomialUnivariate;PrincipalComponentAnalysis;SparseBlockMatrix;SurfaceModel,non_gui,present,present,identical_text,,BasisFunction.h,BasisFunction.h
src/base/bind_base_math.cpp,Buffer.h,Affine;Basis1VariableFunction;BasisFunction;Calculator;CubeCalculator;CubeInfixToPostfix;FourierTransform;InfixToPostfix;InlineInfixToPostfix;LeastSquares;Matrix;MaximumLikelihoodWFunctions;NthOrderPolynomial;NumericalApproximation;PolynomialBivariate;PolynomialUnivariate;PrincipalComponentAnalysis;SparseBlockMatrix;SurfaceModel,non_gui,present,present,identical_text,,Buffer.h,Buffer.h
src/base/bind_base_math.cpp,Calculator.h,Affine;Basis1VariableFunction;BasisFunction;Calculator;CubeCalculator;CubeInfixToPostfix;FourierTransform;InfixToPostfix;InlineInfixToPostfix;LeastSquares;Matrix;MaximumLikelihoodWFunctions;NthOrderPolynomial;NumericalApproximation;PolynomialBivariate;PolynomialUnivariate;PrincipalComponentAnalysis;SparseBlockMatrix;SurfaceModel,non_gui,present,present,changed_review_required,,Calculator.h,Calculator.h
src/base/bind_base_math.cpp,Cube.h,Affine;Basis1VariableFunction;BasisFunction;Calculator;CubeCalculator;CubeInfixToPostfix;FourierTransform;InfixToPostfix;InlineInfixToPostfix;LeastSquares;Matrix;MaximumLikelihoodWFunctions;NthOrderPolynomial;NumericalApproximation;PolynomialBivariate;PolynomialUnivariate;PrincipalComponentAnalysis;SparseBlockMatrix;SurfaceModel,non_gui,present,present,changed_review_required,,Cube.h,Cube.h
src/base/bind_base_math.cpp,CubeCalculator.h,Affine;Basis1VariableFunction;BasisFunction;Calculator;CubeCalculator;CubeInfixToPostfix;FourierTransform;InfixToPostfix;InlineInfixToPostfix;LeastSquares;Matrix;MaximumLikelihoodWFunctions;NthOrderPolynomial;NumericalApproximation;PolynomialBivariate;PolynomialUnivariate;PrincipalComponentAnalysis;SparseBlockMatrix;SurfaceModel,non_gui,present,present,changed_review_required,,CubeCalculator.h,CubeCalculator.h
src/base/bind_base_math.cpp,CubeInfixToPostfix.h,Affine;Basis1VariableFunction;BasisFunction;Calculator;CubeCalculator;CubeInfixToPostfix;FourierTransform;InfixToPostfix;InlineInfixToPostfix;LeastSquares;Matrix;MaximumLikelihoodWFunctions;NthOrderPolynomial;NumericalApproximation;PolynomialBivariate;PolynomialUnivariate;PrincipalComponentAnalysis;SparseBlockMatrix;SurfaceModel,non_gui,present,present,identical_text,,CubeInfixToPostfix.h,CubeInfixToPostfix.h
src/base/bind_base_math.cpp,FourierTransform.h,Affine;Basis1VariableFunction;BasisFunction;Calculator;CubeCalculator;CubeInfixToPostfix;FourierTransform;InfixToPostfix;InlineInfixToPostfix;LeastSquares;Matrix;MaximumLikelihoodWFunctions;NthOrderPolynomial;NumericalApproximation;PolynomialBivariate;PolynomialUnivariate;PrincipalComponentAnalysis;SparseBlockMatrix;SurfaceModel,non_gui,present,present,identical_text,,FourierTransform.h,FourierTransform.h
src/base/bind_base_math.cpp,InfixToPostfix.h,Affine;Basis1VariableFunction;BasisFunction;Calculator;CubeCalculator;CubeInfixToPostfix;FourierTransform;InfixToPostfix;InlineInfixToPostfix;LeastSquares;Matrix;MaximumLikelihoodWFunctions;NthOrderPolynomial;NumericalApproximation;PolynomialBivariate;PolynomialUnivariate;PrincipalComponentAnalysis;SparseBlockMatrix;SurfaceModel,non_gui,present,present,changed_review_required,,InfixToPostfix.h,InfixToPostfix.h
src/base/bind_base_math.cpp,InlineInfixToPostfix.h,Affine;Basis1VariableFunction;BasisFunction;Calculator;CubeCalculator;CubeInfixToPostfix;FourierTransform;InfixToPostfix;InlineInfixToPostfix;LeastSquares;Matrix;MaximumLikelihoodWFunctions;NthOrderPolynomial;NumericalApproximation;PolynomialBivariate;PolynomialUnivariate;PrincipalComponentAnalysis;SparseBlockMatrix;SurfaceModel,non_gui,present,present,identical_text,,InlineInfixToPostfix.h,InlineInfixToPostfix.h
src/base/bind_base_math.cpp,LeastSquares.h,Affine;Basis1VariableFunction;BasisFunction;Calculator;CubeCalculator;CubeInfixToPostfix;FourierTransform;InfixToPostfix;InlineInfixToPostfix;LeastSquares;Matrix;MaximumLikelihoodWFunctions;NthOrderPolynomial;NumericalApproximation;PolynomialBivariate;PolynomialUnivariate;PrincipalComponentAnalysis;SparseBlockMatrix;SurfaceModel,non_gui,present,present,identical_text,,LeastSquares.h,LeastSquares.h
src/base/bind_base_math.cpp,LinearAlgebra.h,Affine;Basis1VariableFunction;BasisFunction;Calculator;CubeCalculator;CubeInfixToPostfix;FourierTransform;InfixToPostfix;InlineInfixToPostfix;LeastSquares;Matrix;MaximumLikelihoodWFunctions;NthOrderPolynomial;NumericalApproximation;PolynomialBivariate;PolynomialUnivariate;PrincipalComponentAnalysis;SparseBlockMatrix;SurfaceModel,non_gui,present,present,identical_text,,LinearAlgebra.h,LinearAlgebra.h
src/base/bind_base_math.cpp,Matrix.h,Affine;Basis1VariableFunction;BasisFunction;Calculator;CubeCalculator;CubeInfixToPostfix;FourierTransform;InfixToPostfix;InlineInfixToPostfix;LeastSquares;Matrix;MaximumLikelihoodWFunctions;NthOrderPolynomial;NumericalApproximation;PolynomialBivariate;PolynomialUnivariate;PrincipalComponentAnalysis;SparseBlockMatrix;SurfaceModel,non_gui,present,present,identical_text,,Matrix.h,Matrix.h
src/base/bind_base_math.cpp,MaximumLikelihoodWFunctions.h,Affine;Basis1VariableFunction;BasisFunction;Calculator;CubeCalculator;CubeInfixToPostfix;FourierTransform;InfixToPostfix;InlineInfixToPostfix;LeastSquares;Matrix;MaximumLikelihoodWFunctions;NthOrderPolynomial;NumericalApproximation;PolynomialBivariate;PolynomialUnivariate;PrincipalComponentAnalysis;SparseBlockMatrix;SurfaceModel,non_gui,present,present,identical_text,,MaximumLikelihoodWFunctions.h,MaximumLikelihoodWFunctions.h
src/base/bind_base_math.cpp,NthOrderPolynomial.h,Affine;Basis1VariableFunction;BasisFunction;Calculator;CubeCalculator;CubeInfixToPostfix;FourierTransform;InfixToPostfix;InlineInfixToPostfix;LeastSquares;Matrix;MaximumLikelihoodWFunctions;NthOrderPolynomial;NumericalApproximation;PolynomialBivariate;PolynomialUnivariate;PrincipalComponentAnalysis;SparseBlockMatrix;SurfaceModel,non_gui,present,present,identical_text,,NthOrderPolynomial.h,NthOrderPolynomial.h
src/base/bind_base_math.cpp,NumericalApproximation.h,Affine;Basis1VariableFunction;BasisFunction;Calculator;CubeCalculator;CubeInfixToPostfix;FourierTransform;InfixToPostfix;InlineInfixToPostfix;LeastSquares;Matrix;MaximumLikelihoodWFunctions;NthOrderPolynomial;NumericalApproximation;PolynomialBivariate;PolynomialUnivariate;PrincipalComponentAnalysis;SparseBlockMatrix;SurfaceModel,non_gui,present,present,identical_text,,NumericalApproximation.h,NumericalApproximation.h
src/base/bind_base_math.cpp,PolynomialBivariate.h,Affine;Basis1VariableFunction;BasisFunction;Calculator;CubeCalculator;CubeInfixToPostfix;FourierTransform;InfixToPostfix;InlineInfixToPostfix;LeastSquares;Matrix;MaximumLikelihoodWFunctions;NthOrderPolynomial;NumericalApproximation;PolynomialBivariate;PolynomialUnivariate;PrincipalComponentAnalysis;SparseBlockMatrix;SurfaceModel,non_gui,present,present,identical_text,,PolynomialBivariate.h,PolynomialBivariate.h
src/base/bind_base_math.cpp,PolynomialUnivariate.h,Affine;Basis1VariableFunction;BasisFunction;Calculator;CubeCalculator;CubeInfixToPostfix;FourierTransform;InfixToPostfix;InlineInfixToPostfix;LeastSquares;Matrix;MaximumLikelihoodWFunctions;NthOrderPolynomial;NumericalApproximation;PolynomialBivariate;PolynomialUnivariate;PrincipalComponentAnalysis;SparseBlockMatrix;SurfaceModel,non_gui,present,present,identical_text,,PolynomialUnivariate.h,PolynomialUnivariate.h
src/base/bind_base_math.cpp,PrincipalComponentAnalysis.h,Affine;Basis1VariableFunction;BasisFunction;Calculator;CubeCalculator;CubeInfixToPostfix;FourierTransform;InfixToPostfix;InlineInfixToPostfix;LeastSquares;Matrix;MaximumLikelihoodWFunctions;NthOrderPolynomial;NumericalApproximation;PolynomialBivariate;PolynomialUnivariate;PrincipalComponentAnalysis;SparseBlockMatrix;SurfaceModel,non_gui,present,present,identical_text,,PrincipalComponentAnalysis.h,PrincipalComponentAnalysis.h
src/base/bind_base_math.cpp,Ransac.h,Affine;Basis1VariableFunction;BasisFunction;Calculator;CubeCalculator;CubeInfixToPostfix;FourierTransform;InfixToPostfix;InlineInfixToPostfix;LeastSquares;Matrix;MaximumLikelihoodWFunctions;NthOrderPolynomial;NumericalApproximation;PolynomialBivariate;PolynomialUnivariate;PrincipalComponentAnalysis;SparseBlockMatrix;SurfaceModel,non_gui,present,present,identical_text,,Ransac.h,Ransac.h
src/base/bind_base_math.cpp,SparseBlockMatrix.h,Affine;Basis1VariableFunction;BasisFunction;Calculator;CubeCalculator;CubeInfixToPostfix;FourierTransform;InfixToPostfix;InlineInfixToPostfix;LeastSquares;Matrix;MaximumLikelihoodWFunctions;NthOrderPolynomial;NumericalApproximation;PolynomialBivariate;PolynomialUnivariate;PrincipalComponentAnalysis;SparseBlockMatrix;SurfaceModel,non_gui,present,present,identical_text,,SparseBlockMatrix.h,SparseBlockMatrix.h
