status,kind,callable_key,symbol,isis9_symbol_type,isis10_symbol_type
unchanged,method,Isis::APrioriLongitudeFilter::evaluate,Isis::APrioriLongitudeFilter::evaluate(Isis::ControlPoint const*) const,T,T
removed,method,Isis::APrioriLongitudeFilter::evaluate,"Isis::APrioriLongitudeFilter::evaluate(QPair<QString, Isis::ControlNet*> const*) const",T,
added,method,Isis::APrioriLongitudeFilter::evaluate,"Isis::APrioriLongitudeFilter::evaluate(std::pair<QString, Isis::ControlNet*> const*) const",,T
unchanged,method,Isis::APrioriLongitudeFilter::getImageDescription,Isis::APrioriLongitudeFilter::getImageDescription() const,T,T
unchanged,method,Isis::APrioriLongitudeFilter::getPointDescription,Isis::APrioriLongitudeFilter::getPointDescription() const,T,T
unchanged,method,Isis::APrioriLongitudeFilter::metaObject,Isis::APrioriLongitudeFilter::metaObject() const,T,T
unchanged,method,Isis::APrioriLongitudeFilter::qt_metacall,"Isis::APrioriLongitudeFilter::qt_metacall(QMetaObject::Call, int, void**)",T,T
unchanged,method,Isis::APrioriLongitudeFilter::qt_metacast,Isis::APrioriLongitudeFilter::qt_metacast(char const*),T,T
unchanged,data,,Isis::APrioriLongitudeFilter::staticMetaObject,D,D
unchanged,method,Isis::APrioriLongitudeFilter::~APrioriLongitudeFilter,Isis::APrioriLongitudeFilter::~APrioriLongitudeFilter(),T,T
unchanged,method,Isis::APrioriLongitudeSigmaFilter::APrioriLongitudeSigmaFilter,Isis::APrioriLongitudeSigmaFilter::APrioriLongitudeSigmaFilter(Isis::APrioriLongitudeSigmaFilter const&),T,T
unchanged,method,Isis::APrioriLongitudeSigmaFilter::APrioriLongitudeSigmaFilter,"Isis::APrioriLongitudeSigmaFilter::APrioriLongitudeSigmaFilter(QFlags<Isis::AbstractFilter::FilterEffectiveness>, int)",T,T
unchanged,method,Isis::APrioriLongitudeSigmaFilter::clone,Isis::APrioriLongitudeSigmaFilter::clone() const,T,T
unchanged,method,Isis::APrioriLongitudeSigmaFilter::evaluate,Isis::APrioriLongitudeSigmaFilter::evaluate(Isis::ControlMeasure const*) const,T,T
