callable_key,kind,owner,removed_signatures,added_signatures
Isis::FeatureInventory::add,method,FeatureInventory,"Isis::FeatureInventory::add(QString const&, Isis::FeatureAlgorithm<cv::Ptr<cv::DescriptorMatcher> >* (*)(Isis::PvlFlatMap const&, QString const&), QStringList const&)
Isis::FeatureInventory::add(QString const&, Isis::FeatureAlgorithm<cv::Ptr<cv::Feature2D> >* (*)(Isis::PvlFlatMap const&, QString const&), QStringList const&)","Isis::FeatureInventory::add(QString const&, Isis::FeatureAlgorithm<cv::Ptr<cv::DescriptorMatcher> >* (*)(Isis::PvlFlatMap const&, QString const&), QList<QString> const&)
Isis::FeatureInventory::add(QString const&, Isis::FeatureAlgorithm<cv::Ptr<cv::Feature2D> >* (*)(Isis::PvlFlatMap const&, QString const&), QList<QString> const&)"
Isis::FeatureInventory::info,method,FeatureInventory,"Isis::FeatureInventory::info(QStringList, QString const&) const","Isis::FeatureInventory::info(QList<QString>, QString const&) const"
Isis::FeatureInventory::parameters,method,FeatureInventory,Isis::FeatureInventory::parameters(QStringList const&) const,Isis::FeatureInventory::parameters(QList<QString> const&) const
Isis::FileDialog::FileDialog,method,FileDialog,"Isis::FileDialog::FileDialog(QString, QStringList&, QDir&, QWidget*)","Isis::FileDialog::FileDialog(QString, QList<QString>&, QDir&, QWidget*)"
Isis::FilterWidget::evaluate,method,FilterWidget,"Isis::FilterWidget::evaluate(QPair<QString, Isis::ControlNet*> const*) const","Isis::FilterWidget::evaluate(std::pair<QString, Isis::ControlNet*> const*) const"
Isis::GoodnessOfFitFilter::evaluate,method,GoodnessOfFitFilter,"Isis::GoodnessOfFitFilter::evaluate(QPair<QString, Isis::ControlNet*> const*) const","Isis::GoodnessOfFitFilter::evaluate(std::pair<QString, Isis::ControlNet*> const*) const"
Isis::GridPolygonSeeder::CheckSubGrid,method,GridPolygonSeeder,"Isis::GridPolygonSeeder::CheckSubGrid(geos::geom::MultiPolygon const&, double const&, double const&, int const&)","Isis::GridPolygonSeeder::CheckSubGrid(geos::geom::Polygon const&, double const&, double const&, int const&)"
Isis::HistogramItem::setData,method,HistogramItem,Isis::HistogramItem::setData(QwtIntervalSeriesData const&),Isis::HistogramItem::setData(QwtArraySeriesData<QwtIntervalSample> const&)
Isis::ImageIdFilter::evaluate,method,ImageIdFilter,"Isis::ImageIdFilter::evaluate(QPair<QString, Isis::ControlNet*> const*) const","Isis::ImageIdFilter::evaluate(std::pair<QString, Isis::ControlNet*> const*) const"
Isis::ImageList::ImageList,method,ImageList,Isis::ImageList::ImageList(QStringList&),Isis::ImageList::ImageList(QList<QString>&)
Isis::ImageList::applyAlphas,method,ImageList,Isis::ImageList::applyAlphas(QStringList),Isis::ImageList::applyAlphas(QList<QString>)
Isis::ImageList::applyColors,method,ImageList,"Isis::ImageList::applyColors(QStringList, int)","Isis::ImageList::applyColors(QList<QString>, int)"
Isis::ImageList::applyShowDNs,method,ImageList,Isis::ImageList::applyShowDNs(QStringList),Isis::ImageList::applyShowDNs(QList<QString>)
Isis::ImageList::applyShowFill,method,ImageList,Isis::ImageList::applyShowFill(QStringList),Isis::ImageList::applyShowFill(QList<QString>)
Isis::ImageList::applyShowLabel,method,ImageList,Isis::ImageList::applyShowLabel(QStringList),Isis::ImageList::applyShowLabel(QList<QString>)
Isis::ImageList::applyShowOutline,method,ImageList,Isis::ImageList::applyShowOutline(QStringList),Isis::ImageList::applyShowOutline(QList<QString>)
Isis::ImageReader::VariantToImageFunctor::VariantToImageFunctor,method,ImageReader,"Isis::ImageReader::VariantToImageFunctor::VariantToImageFunctor(QMutex*, bool, QThread*, bool, int)","Isis::ImageReader::VariantToImageFunctor::VariantToImageFunctor(QMutex*, bool, QThread*, bool, int, int)"
Isis::ImageReader::read,method,ImageReader,Isis::ImageReader::read(QStringList),Isis::ImageReader::read(QList<QString>)
Isis::ImportControlNetWorkOrder::CreateControlsFunctor::operator,method,ImportControlNetWorkOrder,"Isis::ImportControlNetWorkOrder::CreateControlsFunctor::operator()(QPair<Isis::FileName, Isis::Progress*> const&)","Isis::ImportControlNetWorkOrder::CreateControlsFunctor::operator()(std::pair<Isis::FileName, Isis::Progress*> const&)"
Isis::ImportImagesWorkOrder::importConfirmedImages,method,ImportImagesWorkOrder,"Isis::ImportImagesWorkOrder::importConfirmedImages(QStringList, bool)","Isis::ImportImagesWorkOrder::importConfirmedImages(QList<QString>, bool)"
Isis::ImportPdsTable::extract,method,ImportPdsTable,"Isis::ImportPdsTable::extract(QStringList const&, Isis::ImportPdsTable::ColumnDescr const&, Isis::TableField&) const
Isis::ImportPdsTable::extract(QStringList const&, QList<Isis::ImportPdsTable::ColumnDescr> const&, Isis::TableRecord&) const","Isis::ImportPdsTable::extract(QList<QString> const&, Isis::ImportPdsTable::ColumnDescr const&, Isis::TableField&) const
Isis::ImportPdsTable::extract(QList<QString> const&, QList<Isis::ImportPdsTable::ColumnDescr> const&, Isis::TableRecord&) const"
Isis::ImportPdsTable::importTable,method,ImportPdsTable,"Isis::ImportPdsTable::importTable(QStringList const&, QString const&)","Isis::ImportPdsTable::importTable(QList<QString> const&, QString const&)"
Isis::ImportShapesWorkOrder::importConfirmedShapes,method,ImportShapesWorkOrder,"Isis::ImportShapesWorkOrder::importConfirmedShapes(QStringList, bool)","Isis::ImportShapesWorkOrder::importConfirmedShapes(QList<QString>, bool)"
Isis::IsisBundleObservation::bundleOutputFetchData,method,IsisBundleObservation,"Isis::IsisBundleObservation::bundleOutputFetchData(QVector<double>&, int&, int&, bool&, bool&, bool&)","Isis::IsisBundleObservation::bundleOutputFetchData(QList<double>&, int&, int&, bool&, bool&, bool&)"
Isis::Kernel::Kernel,method,Kernel,"Isis::Kernel::Kernel(Isis::Kernel::Type, QStringList const&)","Isis::Kernel::Kernel(Isis::Kernel::Type, QList<QString> const&)"
Isis::Kernel::setKernels,method,Kernel,Isis::Kernel::setKernels(QStringList),Isis::Kernel::setKernels(QList<QString>)
Isis::LineFilter::evaluate,method,LineFilter,"Isis::LineFilter::evaluate(QPair<QString, Isis::ControlNet*> const*) const","Isis::LineFilter::evaluate(std::pair<QString, Isis::ControlNet*> const*) const"
Isis::LineResidualFilter::evaluate,method,LineResidualFilter,"Isis::LineResidualFilter::evaluate(QPair<QString, Isis::ControlNet*> const*) const","Isis::LineResidualFilter::evaluate(std::pair<QString, Isis::ControlNet*> const*) const"
Isis::LineShiftFilter::evaluate,method,LineShiftFilter,"Isis::LineShiftFilter::evaluate(QPair<QString, Isis::ControlNet*> const*) const","Isis::LineShiftFilter::evaluate(std::pair<QString, Isis::ControlNet*> const*) const"
Isis::LinearAlgebra::toMatrix,method,LinearAlgebra,"Isis::LinearAlgebra::toMatrix(QList<QPair<Isis::Angle, int> > const&)
Isis::LinearAlgebra::toMatrix(QPair<Isis::Angle, int> const&, QPair<Isis::Angle, int> const&, QPair<Isis::Angle, int> const&)
Isis::LinearAlgebra::toMatrix(QPair<boost::numeric::ublas::vector<double, boost::numeric::ublas::unbounded_array<double, std::allocator<double> > >, Isis::Angle> const&)","Isis::LinearAlgebra::toMatrix(QList<std::pair<Isis::Angle, int> > const&)
Isis::LinearAlgebra::toMatrix(std::pair<Isis::Angle, int> const&, std::pair<Isis::Angle, int> const&, std::pair<Isis::Angle, int> const&)
Isis::LinearAlgebra::toMatrix(std::pair<boost::numeric::ublas::vector<double, boost::numeric::ublas::unbounded_array<double, std::allocator<double> > >, Isis::Angle> const&)"
Isis::MatchToolNewPointDialog::setFiles,method,MatchToolNewPointDialog,Isis::MatchToolNewPointDialog::setFiles(QStringList),Isis::MatchToolNewPointDialog::setFiles(QList<QString>)
Isis::MeasureCountFilter::evaluate,method,MeasureCountFilter,"Isis::MeasureCountFilter::evaluate(QPair<QString, Isis::ControlNet*> const*) const","Isis::MeasureCountFilter::evaluate(std::pair<QString, Isis::ControlNet*> const*) const"
Isis::MeasureIgnoredFilter::evaluate,method,MeasureIgnoredFilter,"Isis::MeasureIgnoredFilter::evaluate(QPair<QString, Isis::ControlNet*> const*) const","Isis::MeasureIgnoredFilter::evaluate(std::pair<QString, Isis::ControlNet*> const*) const"
Isis::MeasureJigsawRejectedFilter::evaluate,method,MeasureJigsawRejectedFilter,"Isis::MeasureJigsawRejectedFilter::evaluate(QPair<QString, Isis::ControlNet*> const*) const","Isis::MeasureJigsawRejectedFilter::evaluate(std::pair<QString, Isis::ControlNet*> const*) const"
Isis::MeasureTypeFilter::evaluate,method,MeasureTypeFilter,"Isis::MeasureTypeFilter::evaluate(QPair<QString, Isis::ControlNet*> const*) const","Isis::MeasureTypeFilter::evaluate(std::pair<QString, Isis::ControlNet*> const*) const"
Isis::MosaicController::openImages,method,MosaicController,Isis::MosaicController::openImages(QStringList),Isis::MosaicController::openImages(QList<QString>)
Isis::MosaicMainWindow::openFiles,method,MosaicMainWindow,Isis::MosaicMainWindow::openFiles(QStringList),Isis::MosaicMainWindow::openFiles(QList<QString>)
Isis::NaifDskShape::calculateLocalNormal,method,NaifDskShape,Isis::NaifDskShape::calculateLocalNormal(QVector<double*>),Isis::NaifDskShape::calculateLocalNormal(QList<double*>)
Isis::NewControlPointDialog::setFiles,method,NewControlPointDialog,Isis::NewControlPointDialog::setFiles(QStringList),Isis::NewControlPointDialog::setFiles(QList<QString>)
Isis::NewControlPointDialog::setGroundSource,method,NewControlPointDialog,"Isis::NewControlPointDialog::setGroundSource(QStringList, int)","Isis::NewControlPointDialog::setGroundSource(QList<QString>, int)"
Isis::NewControlPointDialog::setRadiusSource,method,NewControlPointDialog,Isis::NewControlPointDialog::setRadiusSource(QStringList),Isis::NewControlPointDialog::setRadiusSource(QList<QString>)
Isis::PlaneShape::calculateLocalNormal,method,PlaneShape,Isis::PlaneShape::calculateLocalNormal(QVector<double*>),Isis::PlaneShape::calculateLocalNormal(QList<double*>)
Isis::PointEditLockedFilter::evaluate,method,PointEditLockedFilter,"Isis::PointEditLockedFilter::evaluate(QPair<QString, Isis::ControlNet*> const*) const","Isis::PointEditLockedFilter::evaluate(std::pair<QString, Isis::ControlNet*> const*) const"
Isis::PointIdFilter::evaluate,method,PointIdFilter,"Isis::PointIdFilter::evaluate(QPair<QString, Isis::ControlNet*> const*) const","Isis::PointIdFilter::evaluate(std::pair<QString, Isis::ControlNet*> const*) const"
Isis::PointIgnoredFilter::evaluate,method,PointIgnoredFilter,"Isis::PointIgnoredFilter::evaluate(QPair<QString, Isis::ControlNet*> const*) const","Isis::PointIgnoredFilter::evaluate(std::pair<QString, Isis::ControlNet*> const*) const"
Isis::PointJigsawRejectedFilter::evaluate,method,PointJigsawRejectedFilter,"Isis::PointJigsawRejectedFilter::evaluate(QPair<QString, Isis::ControlNet*> const*) const","Isis::PointJigsawRejectedFilter::evaluate(std::pair<QString, Isis::ControlNet*> const*) const"
Isis::PointTypeFilter::evaluate,method,PointTypeFilter,"Isis::PointTypeFilter::evaluate(QPair<QString, Isis::ControlNet*> const*) const","Isis::PointTypeFilter::evaluate(std::pair<QString, Isis::ControlNet*> const*) const"
Isis::ProcessByBrick::BlockingReportProgress,method,ProcessByBrick,Isis::ProcessByBrick::BlockingReportProgress(QFuture<void>&),Isis::ProcessByBrick::BlockingReportProgress(QFuture<void*>&)
Isis::ProcessExportPds4::getElement,method,ProcessExportPds4,"Isis::ProcessExportPds4::getElement(QStringList, QDomElement)","Isis::ProcessExportPds4::getElement(QList<QString>, QDomElement)"
Isis::Project::addImages,method,Project,Isis::Project::addImages(QStringList),Isis::Project::addImages(QList<QString>)
Isis::Project::addShapes,method,Project,Isis::Project::addShapes(QStringList),Isis::Project::addShapes(QList<QString>)
Isis::Project::images,method,Project,Isis::Project::images(QStringList),Isis::Project::images(QList<QString>)
Isis::ProjectItemModel::rejectName,method,ProjectItemModel,"Isis::ProjectItemModel::rejectName(QStringList&, QString)","Isis::ProjectItemModel::rejectName(QList<QString>&, QString)"
Isis::PvlConstraints::addExclude,method,PvlConstraints,Isis::PvlConstraints::addExclude(QStringList const&),Isis::PvlConstraints::addExclude(QList<QString> const&)
Isis::PvlConstraints::addInclude,method,PvlConstraints,Isis::PvlConstraints::addInclude(QStringList const&),Isis::PvlConstraints::addInclude(QList<QString> const&)
Isis::PvlConstraints::addKeyToList,method,PvlConstraints,Isis::PvlConstraints::addKeyToList(QStringList const&),Isis::PvlConstraints::addKeyToList(QList<QString> const&)
Isis::PvlConstraints::withExcludes,method,PvlConstraints,Isis::PvlConstraints::withExcludes(QStringList const&),Isis::PvlConstraints::withExcludes(QList<QString> const&)
Isis::PvlConstraints::withIncludes,method,PvlConstraints,Isis::PvlConstraints::withIncludes(QStringList const&),Isis::PvlConstraints::withIncludes(QList<QString> const&)
Isis::QnetFixedPointDialog::setFiles,method,QnetFixedPointDialog,Isis::QnetFixedPointDialog::setFiles(QStringList),Isis::QnetFixedPointDialog::setFiles(QList<QString>)
Isis::QnetNewMeasureDialog::setFiles,method,QnetNewMeasureDialog,"Isis::QnetNewMeasureDialog::setFiles(Isis::ControlPoint, QStringList)","Isis::QnetNewMeasureDialog::setFiles(Isis::ControlPoint, QList<QString>)"
Isis::ResidualMagnitudeFilter::evaluate,method,ResidualMagnitudeFilter,"Isis::ResidualMagnitudeFilter::evaluate(QPair<QString, Isis::ControlNet*> const*) const","Isis::ResidualMagnitudeFilter::evaluate(std::pair<QString, Isis::ControlNet*> const*) const"
Isis::SampleFilter::evaluate,method,SampleFilter,"Isis::SampleFilter::evaluate(QPair<QString, Isis::ControlNet*> const*) const","Isis::SampleFilter::evaluate(std::pair<QString, Isis::ControlNet*> const*) const"
Isis::SampleResidualFilter::evaluate,method,SampleResidualFilter,"Isis::SampleResidualFilter::evaluate(QPair<QString, Isis::ControlNet*> const*) const","Isis::SampleResidualFilter::evaluate(std::pair<QString, Isis::ControlNet*> const*) const"
Isis::SampleShiftFilter::evaluate,method,SampleShiftFilter,"Isis::SampleShiftFilter::evaluate(QPair<QString, Isis::ControlNet*> const*) const","Isis::SampleShiftFilter::evaluate(std::pair<QString, Isis::ControlNet*> const*) const"
Isis::SaveAsDialog::SaveAsDialog,method,SaveAsDialog,"Isis::SaveAsDialog::SaveAsDialog(QString, QStringList&, QDir&, QWidget*)","Isis::SaveAsDialog::SaveAsDialog(QString, QList<QString>&, QDir&, QWidget*)"
Isis::ShapeList::ShapeList,method,ShapeList,Isis::ShapeList::ShapeList(QStringList&),Isis::ShapeList::ShapeList(QList<QString>&)
Isis::ShapeReader::read,method,ShapeReader,Isis::ShapeReader::read(QStringList),Isis::ShapeReader::read(QList<QString>)
Isis::SmtkMatcher::FindExpDistEV,method,SmtkMatcher,"Isis::SmtkMatcher::FindExpDistEV(QHash<QPair<int, int>, Isis::SmtkPoint>&, double const&, double const&, double const&)","Isis::SmtkMatcher::FindExpDistEV(QHash<std::pair<int, int>, Isis::SmtkPoint>&, double const&, double const&, double const&)"
Isis::SmtkMatcher::FindSmallestEV,method,SmtkMatcher,"Isis::SmtkMatcher::FindSmallestEV(QHash<QPair<int, int>, Isis::SmtkPoint>&)","Isis::SmtkMatcher::FindSmallestEV(QHash<std::pair<int, int>, Isis::SmtkPoint>&)"
Isis::SpectralPlotTool::getSpectralStatistics,method,SpectralPlotTool,"Isis::SpectralPlotTool::getSpectralStatistics(QVector<double>&, QVector<Isis::Statistics>&, Isis::MdiCubeViewport*)","Isis::SpectralPlotTool::getSpectralStatistics(QList<double>&, QList<Isis::Statistics>&, Isis::MdiCubeViewport*)"
Isis::Spice::Spice,method,Spice,"Isis::Spice::Spice(Isis::Pvl&, nlohmann::json_abi_v3_11_2::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_2::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> > >)","Isis::Spice::Spice(Isis::Cube&, Isis::Pvl&, nlohmann::json_abi_v3_11_2::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_2::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> > >)"
Isis::Spice::init,method,Spice,"Isis::Spice::init(Isis::Pvl&, bool, nlohmann::json_abi_v3_11_2::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_2::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> > >)","Isis::Spice::init(Isis::Cube&, Isis::Pvl&, bool)"
Isis::StereoPairStrategy::computeRank,method,StereoPairStrategy,"Isis::StereoPairStrategy::computeRank(double const&, QVector<double> const&) const","Isis::StereoPairStrategy::computeRank(double const&, QList<double> const&) const"
Isis::StereoPairStrategy::passConstraints,method,StereoPairStrategy,"Isis::StereoPairStrategy::passConstraints(QSharedPointer<Isis::Resource> const&, QMap<QString, QVector<double> > const&) const","Isis::StereoPairStrategy::passConstraints(QSharedPointer<Isis::Resource> const&, QMap<QString, QList<double> > const&) const"
Isis::StereoPairStrategy::rankConstraints,method,StereoPairStrategy,"Isis::StereoPairStrategy::rankConstraints(QSharedPointer<Isis::Resource> const&, QMap<QString, QVector<double> > const&, double&, QSharedPointer<Isis::Resource> const&, QString const&) const","Isis::StereoPairStrategy::rankConstraints(QSharedPointer<Isis::Resource> const&, QMap<QString, QList<double> > const&, double&, QSharedPointer<Isis::Resource> const&, QString const&) const"
Isis::Strategy::composite,method,Strategy,"Isis::Strategy::composite(QSharedPointer<Isis::Resource>&, QSharedPointer<Isis::Resource>&, QPair<QString, QString> const&) const","Isis::Strategy::composite(QSharedPointer<Isis::Resource>&, QSharedPointer<Isis::Resource>&, std::pair<QString, QString> const&) const"
Isis::Strategy::processArgs,method,Strategy,"Isis::Strategy::processArgs(QString const&, QStringList const&, QList<QSharedPointer<Isis::Resource> > const&, QString const&) const","Isis::Strategy::processArgs(QString const&, QList<QString> const&, QList<QSharedPointer<Isis::Resource> > const&, QString const&) const"
Isis::TableColumnList::setSortingOrder,method,TableColumnList,Isis::TableColumnList::setSortingOrder(QStringList),Isis::TableColumnList::setSortingOrder(QList<QString>)
Isis::UserInterface::UserInterface,method,UserInterface,"Isis::UserInterface::UserInterface(QString const&, QVector<QString>&)","Isis::UserInterface::UserInterface(QString const&, QList<QString>&)"
Isis::UserInterface::loadCommandLine,method,UserInterface,"Isis::UserInterface::loadCommandLine(QVector<QString>&, bool)","Isis::UserInterface::loadCommandLine(QList<QString>&, bool)"
Isis::VisualDisplay::setPixelData,method,VisualDisplay,"Isis::VisualDisplay::setPixelData(QVector<QVector<double> >, int, int)","Isis::VisualDisplay::setPixelData(QList<QList<double> >, int, int)"
Isis::WorkOrder::setInternalData,method,WorkOrder,Isis::WorkOrder::setInternalData(QStringList),Isis::WorkOrder::setInternalData(QList<QString>)
Isis::WriteResults,function,,"Isis::WriteResults(QString, QVector<QString>, Isis::PvlGroup&)","Isis::WriteResults(QString, QList<QString>, Isis::PvlGroup&)"
Isis::getCameraPointInfo,function,,"Isis::getCameraPointInfo(Isis::UserInterface const&, QList<QPair<double, double> >, Isis::CameraPointInfo&)","Isis::getCameraPointInfo(Isis::UserInterface const&, QList<std::pair<double, double> >, Isis::CameraPointInfo&)"
Isis::getProjPointInfo,function,,"Isis::getProjPointInfo(Isis::Cube*, QPair<double, double>, Isis::UserInterface&, Isis::Pvl*)","Isis::getProjPointInfo(Isis::Cube*, std::pair<double, double>, Isis::UserInterface&, Isis::Pvl*)"
Isis::operator<<,function,,"Isis::operator<<(std::ostream&, Isis::Pvl&)
Isis::operator<<(std::ostream&, Isis::PvlContainer&)
Isis::operator<<(std::ostream&, Isis::PvlGroup&)
Isis::operator<<(std::ostream&, Isis::PvlKeyword const&)
Isis::operator<<(std::ostream&, Isis::PvlObject&)
Isis::operator<<(std::ostream&, QString const&)
Isis::operator<<(std::ostream&, QStringRef const&)",
Isis::operator>>,function,,"Isis::operator>>(std::istream&, Isis::Pvl&)
Isis::operator>>(std::istream&, Isis::PvlGroup&)
Isis::operator>>(std::istream&, Isis::PvlKeyword&)
Isis::operator>>(std::istream&, Isis::PvlObject&)",
Isis::toString,function,,"Isis::toString(bool)
Isis::toString(char)
Isis::toString(double, int)
Isis::toString(int const&)
Isis::toString(long const&)
Isis::toString(unsigned int const&)",
