Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
MsiCamera,Near Earth Asteroid Rendezvous - Shoemaker,isis/src/near/objs/MsiCamera/MsiCamera.h,isis_pybind_standalone/src/mission/bind_mission_cameras.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,"亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,MsiCamera,isis_pybind.MsiCamera,Y,"Python class symbol is exported; constructor exposure may be limited; 亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"
Construction/Enum,MsiCamera(),isis_pybind.MsiCamera(),N,"亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"
Public API,"virtual std::pair <iTime, iTime> ShutterOpenCloseTimes(double time, double exposureDuration)",isis_pybind.MsiCamera.shutter_open_close_times,N,"亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"
Public API,virtual int CkFrameId() const,isis_pybind.MsiCamera.ck_frame_id,N,"亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"
Public API,virtual int CkReferenceId() const,isis_pybind.MsiCamera.ck_reference_id,N,"亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"
Public API,virtual int SpkReferenceId() const,isis_pybind.MsiCamera.spk_reference_id,N,"亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"
