Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
TileManager,Low Level Cube I/O,isis/src/base/objs/TileManager/TileManager.h,isis_pybind_standalone/src/bind_low_level_cube_io.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,TileManager,isis_pybind.TileManager,Y,Python class symbol is exported
Construction/Enum,TileManager(),isis_pybind.TileManager(),Y,Constructor is explicitly bound
Mutation/Configuration,"bool SetTile(const int Tile, const int band = 1)",isis_pybind.TileManager.set_tile,Y,Current Python name
Public API,inline int Tiles() { return MaxMaps(),isis_pybind.TileManager.tiles,Y,Current Python name
