Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
OriginalLabel,Low Level Cube I/O,isis/src/base/objs/OriginalLabel/OriginalLabel.h,N/A,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,OriginalLabel,isis_pybind.OriginalLabel,N,Python class symbol not found in current binding files
Construction/Enum,OriginalLabel(),isis_pybind.OriginalLabel(),N,Constructor binding not detected in current binding files
Public API,Pvl ReturnLabels() const,isis_pybind.OriginalLabel.return_labels,N,Method not found in current binding files
Public API,Isis::Blob toBlob(),isis_pybind.OriginalLabel.to_blob,N,Method not found in current binding files
