Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
Enlarge,Geometry,isis/src/base/objs/Enlarge/Enlarge.h,N/A,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,Enlarge,isis_pybind.Enlarge,Y,2026-04-11 台账同步；已在 src/base/bind_base_geometry.cpp 暴露; Python class symbol not found in current binding files
Construction/Enum,Enlarge(),isis_pybind.Enlarge(),Y,2026-04-11 台账同步；已在 src/base/bind_base_geometry.cpp 暴露; Constructor binding not detected in current binding files
Mutation/Configuration,"void SetInputArea(double pdStartSample, double pdEndSample, double pdStartLine, double pdEndLine)",isis_pybind.Enlarge.set_input_area,Y,2026-04-11 台账同步；已在 src/base/bind_base_geometry.cpp 暴露; Method not found in current binding files
Public API,"bool Xform(double &inSample, double &inLine, const double outSample, const double outLine)",isis_pybind.Enlarge.xform,N,Method not found in current binding files
Public API,PvlGroup UpdateOutputLabel(Cube *pOutCube),isis_pybind.Enlarge.update_output_label,Y,2026-04-11 台账同步；已在 src/base/bind_base_geometry.cpp 暴露; Method not found in current binding files
Public API,int OutputSamples() const { return miOutputSamples,isis_pybind.Enlarge.output_samples,N,Method not found in current binding files
Public API,int OutputLines() const { return miOutputLines,isis_pybind.Enlarge.output_lines,N,Method not found in current binding files
