Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
FileList,Parsing,isis/src/base/objs/FileList/FileList.h,N/A,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,FileList,isis_pybind.FileList,N,Python class symbol not found in current binding files
Construction/Enum,FileList(),isis_pybind.FileList(),N,Constructor binding not detected in current binding files
Read/Write IO,void read(FileName listFile),isis_pybind.FileList.read,N,Method not found in current binding files
Read/Write IO,void read(std::istream &in),isis_pybind.FileList.read,N,Method not found in current binding files
Read/Write IO,void write(FileName outputFileList),isis_pybind.FileList.write,N,Method not found in current binding files
Read/Write IO,void write(std::ostream &out),isis_pybind.FileList.write,N,Method not found in current binding files
