Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
MocWideAngleDistortionMap,Mars Global Surveyor,isis/src/mgs/objs/MocWideAngleCamera/MocWideAngleDistortionMap.h,N/A,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,"亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,MocWideAngleDistortionMap,isis_pybind.MocWideAngleDistortionMap,N,"Python class symbol not found in current binding files; 亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"
Construction/Enum,MocWideAngleDistortionMap(),isis_pybind.MocWideAngleDistortionMap(),N,"亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"
Mutation/Configuration,"virtual bool SetFocalPlane(const double dx, const double dy)",isis_pybind.MocWideAngleDistortionMap.set_focal_plane,N,"亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"
Mutation/Configuration,"virtual bool SetUndistortedFocalPlane(const double ux, const double uy)",isis_pybind.MocWideAngleDistortionMap.set_undistorted_focal_plane,N,"亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"
