Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
Reduce,Geometry,isis/src/base/objs/Reduce/Reduce.h,N/A,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,Reduce,isis_pybind.Reduce,N,Python class symbol not found in current binding files
Construction/Enum,Reduce(),isis_pybind.Reduce(),N,Constructor binding not detected in current binding files
Public API,Isis::PvlGroup UpdateOutputLabel(Isis::Cube *pOutCube),isis_pybind.Reduce.update_output_label,N,Method not found in current binding files
Mutation/Configuration,"void setInputBoundary(int startSample, int endSample, int startLine, int endLine)",isis_pybind.Reduce.set_input_boundary,N,Method not found in current binding files
