Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
GainLineDrift,Mars Reconnaissance Orbiter,isis/src/mro/objs/HiCal/GainLineDrift.h,N/A,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,抽象基类/纯虚接口

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,GainLineDrift,isis_pybind.GainLineDrift,N,Python class symbol not found in current binding files; 抽象基类/纯虚接口
Construction/Enum,"GainLineDrift() : Module(""GainLineDrift"") { }",isis_pybind.GainLineDrift(),N,抽象基类/纯虚接口
Construction/Enum,"GainLineDrift(const HiCalConf &conf) : Module(""GainLineDrift"") { init(conf)",isis_pybind.GainLineDrift(),N,抽象基类/纯虚接口
