Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
ZeroReverse,Mars Reconnaissance Orbiter,isis/src/mro/objs/HiCal/ZeroReverse.h,N/A,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,抽象基类/纯虚接口

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,ZeroReverse,isis_pybind.ZeroReverse,N,Python class symbol not found in current binding files; 抽象基类/纯虚接口
Construction/Enum,"ZeroReverse() : Module(""ZeroReverse"") { }",isis_pybind.ZeroReverse(),N,抽象基类/纯虚接口
Construction/Enum,"ZeroReverse(HiCalData &cal, const HiCalConf &conf) : Module(""ZeroReverse"") { init(cal, conf)",isis_pybind.ZeroReverse(),N,抽象基类/纯虚接口
Public API,const Statistics &Stats() const { return (_stats); },isis_pybind.ZeroReverse.stats,N,抽象基类/纯虚接口
Public API,bool wasTriggered() const { return (_triggered); },isis_pybind.ZeroReverse.was_triggered,N,抽象基类/纯虚接口
