Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
Mariner10Camera,Mariner,reference/upstream_isis/src/mariner/objs/Mariner10Camera/Mariner10Camera.h,N/A,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,"亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,Mariner10Camera,isis_pybind.Mariner10Camera,N,"Python class symbol not found in current binding files; 亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"
Construction/Enum,Mariner10Camera(),isis_pybind.Mariner10Camera(),N,"亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"
Public API,"virtual std::pair <iTime, iTime> ShutterOpenCloseTimes(double time, double exposureDuration)",isis_pybind.Mariner10Camera.shutter_open_close_times,N,"亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"
Public API,virtual int CkFrameId() const { return (-76000); },isis_pybind.Mariner10Camera.ck_frame_id,N,"亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"
Public API,virtual int CkReferenceId() const { return (1); },isis_pybind.Mariner10Camera.ck_reference_id,N,"亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"
Public API,virtual int SpkReferenceId() const { return (1); },isis_pybind.Mariner10Camera.spk_reference_id,N,"亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"
