Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
JunoDistortionMap,Juno,reference/upstream_isis/src/juno/objs/JunoCamera/JunoDistortionMap.h,N/A,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,"亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,JunoDistortionMap,isis_pybind.JunoDistortionMap,N,"Python class symbol not found in current binding files; 亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"
Construction/Enum,JunoDistortionMap(),isis_pybind.JunoDistortionMap(),N,"亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"
Mutation/Configuration,virtual void SetDistortion(int naifIkCode),isis_pybind.JunoDistortionMap.set_distortion,N,"亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"
Mutation/Configuration,"virtual bool SetFocalPlane(double dx, double dy)",isis_pybind.JunoDistortionMap.set_focal_plane,N,"亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"
Mutation/Configuration,"virtual bool SetUndistortedFocalPlane(double ux, double uy)",isis_pybind.JunoDistortionMap.set_undistorted_focal_plane,N,"亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"
