Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
TiffImporter,High Level Cube I/O,isis/src/base/objs/TiffImporter/TiffImporter.h,N/A,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,TiffImporter,isis_pybind.TiffImporter,Y,2026-04-11 台账同步；已在 src/bind_high_level_cube_io.cpp 暴露; Python class symbol not found in current binding files
Construction/Enum,TiffImporter(),isis_pybind.TiffImporter(),Y,2026-04-11 台账同步；已在 src/bind_high_level_cube_io.cpp 暴露; Constructor binding not detected in current binding files
Public API,virtual PvlGroup convertProjection() const,isis_pybind.TiffImporter.convert_projection,Y,2026-04-11 台账同步；已在 src/bind_high_level_cube_io.cpp 暴露; Method not found in current binding files
Query,virtual bool isGrayscale() const,isis_pybind.TiffImporter.is_grayscale,Y,2026-04-11 台账同步；已在 src/bind_high_level_cube_io.cpp 暴露; Method not found in current binding files
Query,virtual bool isRgb() const,isis_pybind.TiffImporter.is_rgb,Y,2026-04-11 台账同步；已在 src/bind_high_level_cube_io.cpp 暴露; Method not found in current binding files
Query,virtual bool isArgb() const,isis_pybind.TiffImporter.is_argb,Y,2026-04-11 台账同步；已在 src/bind_high_level_cube_io.cpp 暴露; Method not found in current binding files
