Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
Chandrayaan1M3Camera,Chandrayaan-1,reference/upstream_isis/src/chandrayaan1/objs/Chandrayaan1M3Camera/Chandrayaan1M3Camera.h,src/mission/bind_mission_cameras.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,"亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,Chandrayaan1M3Camera,isis_pybind.Chandrayaan1M3Camera,Y,2026-04-11 已在 src/mission/bind_mission_cameras.cpp 完成绑定
Construction/Enum,Chandrayaan1M3Camera(),isis_pybind.Chandrayaan1M3Camera(),Y,2026-04-11 已在 src/mission/bind_mission_cameras.cpp 完成绑定
Public API,virtual int CkFrameId() const { return (-86000); },isis_pybind.Chandrayaan1M3Camera.ck_frame_id,Y,2026-04-11 已在 src/mission/bind_mission_cameras.cpp 完成绑定
Public API,virtual int CkReferenceId() const { return (1); },isis_pybind.Chandrayaan1M3Camera.ck_reference_id,Y,2026-04-11 已在 src/mission/bind_mission_cameras.cpp 完成绑定
Public API,virtual int SpkReferenceId() const { return (1); },isis_pybind.Chandrayaan1M3Camera.spk_reference_id,Y,2026-04-11 已在 src/mission/bind_mission_cameras.cpp 完成绑定
