Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
ProcessImport,High Level Cube I/O,isis/src/base/objs/ProcessImport/ProcessImport.h,isis_pybind_standalone/src/bind_high_level_cube_io.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,流程/回调接口较多

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Public API,std::vector<std::vector<char *> > DataSuffix(),isis_pybind.ProcessImportVicar.data_suffix,N,流程/回调接口较多
Mutation/Configuration,void SetOrganization(const ProcessImport::Interleave org),isis_pybind.ProcessImportVicar.set_organization,N,流程/回调接口较多
Public API,Interleave Organization() const,isis_pybind.ProcessImportVicar.organization,N,流程/回调接口较多
Mutation/Configuration,void SetBase(const double base),isis_pybind.ProcessImportVicar.set_base,N,流程/回调接口较多
Mutation/Configuration,void SetMultiplier(const double mult),isis_pybind.ProcessImportVicar.set_multiplier,N,流程/回调接口较多
Mutation/Configuration,void SetBase(const std::vector<double> base),isis_pybind.ProcessImportVicar.set_base,N,流程/回调接口较多
Mutation/Configuration,void SetMultiplier(const std::vector<double> mult),isis_pybind.ProcessImportVicar.set_multiplier,N,流程/回调接口较多
Mutation/Configuration,"void SetSpecialValues(const double null, const double lrs, const double lis, const double hrs, const double his)",isis_pybind.ProcessImportVicar.set_special_values,N,流程/回调接口较多
Mutation/Configuration,"void SetNull(const double null_min, const double null_max)",isis_pybind.ProcessImportVicar.set_null,N,流程/回调接口较多
Mutation/Configuration,"void SetLRS(const double lrs_min, const double lrs_max)",isis_pybind.ProcessImportVicar.set_lrs,N,流程/回调接口较多
Mutation/Configuration,"void SetLIS(const double lis_min, const double lis_max)",isis_pybind.ProcessImportVicar.set_lis,N,流程/回调接口较多
Mutation/Configuration,"void SetHRS(const double hrs_min, const double hrs_max)",isis_pybind.ProcessImportVicar.set_hrs,N,流程/回调接口较多
Mutation/Configuration,"void SetHIS(const double his_min, const double his_max)",isis_pybind.ProcessImportVicar.set_his,N,流程/回调接口较多
Public API,double TestPixel(const double pixel),isis_pybind.ProcessImportVicar.test_pixel,N,流程/回调接口较多
Public API,"void CheckPixelRange(QString pixelName, double min, double max)",isis_pybind.ProcessImportVicar.check_pixel_range,N,流程/回调接口较多
Mutation/Configuration,#if 0 void AddImportLabel(Isis::Pvl &importLab),isis_pybind.ProcessImportVicar.add_import_label,N,流程/回调接口较多
Mutation/Configuration,void AddLabel(Isis::Pvl &label),isis_pybind.ProcessImportVicar.add_label,N,流程/回调接口较多
