Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
HapkeAtm1,Radiometric And Photometric Correction,isis/src/base/objs/HapkeAtm1/HapkeAtm1.h,N/A,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,2026-04-08 第三阶段 shape / photometry 批次 inventory 预登记

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,HapkeAtm1,isis_pybind.HapkeAtm1,N,Python class symbol not found in current binding files
Construction/Enum,HapkeAtm1(),isis_pybind.HapkeAtm1(),N,Constructor binding not detected in current binding files
