Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
CrismCamera,Mars Reconnaissance Orbiter,isis/src/mro/objs/CrismCamera/CrismCamera.h,isis_pybind_standalone/src/mission/bind_mission_cameras.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,"亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,CrismCamera,isis_pybind.CrismCamera,Y,"Python class symbol is exported; constructor exposure may be limited; 亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"
Construction/Enum,CrismCamera(),isis_pybind.CrismCamera(),N,"亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"
Mutation/Configuration,void SetBand (const int physicalBand),isis_pybind.CrismCamera.set_band,N,"亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"
Query,bool IsBandIndependent (),isis_pybind.CrismCamera.is_band_independent,N,"亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"
Public API,virtual int CkFrameId() const { return (-74000); },isis_pybind.CrismCamera.ck_frame_id,N,"亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"
Public API,virtual int CkReferenceId() const { return (-74900); },isis_pybind.CrismCamera.ck_reference_id,N,"亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"
Public API,virtual int SpkReferenceId() const { return (1); },isis_pybind.CrismCamera.spk_reference_id,N,"亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"
